"ExecutionNumber","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"FirstExecution",50,253,34,469,"122,66","0,000%","39,46330","117,85","14,07","3058,0"
"FirstExecution",100,242,20,453,"119,11","0,000%","79,80846","238,33","28,45","3058,0"
"FirstExecution",150,236,21,418,"110,45","0,000%","122,14984","364,78","43,54","3058,0"
"FirstExecution",200,245,22,453,"116,56","0,000%","158,73016","474,02","56,58","3058,0"
"FirstExecution",250,252,28,434,"112,98","0,000%","197,94141","591,12","70,56","3058,0"
"FirstExecution",300,254,40,451,"116,75","0,000%","233,10023","696,11","83,09","3058,0"
"FirstExecution",350,255,31,482,"116,03","0,000%","273,43750","816,57","97,47","3058,0"
"FirstExecution",400,265,38,508,"115,06","0,000%","298,73040","892,11","106,48","3058,0"
"FirstExecution",450,266,56,451,"112,40","0,000%","348,29721","1040,13","124,15","3058,0"
"FirstExecution",500,216,21,449,"111,03","0,000%","465,11628","1388,99","165,79","3058,0"
"FirstExecution",550,242,25,456,"117,80","0,000%","381,41470","1139,03","135,95","3058,0"
"FirstExecution",600,240,31,443,"108,95","0,000%","388,34951","1159,74","138,43","3058,0"
"Total5Execution",50,228,27,469,"114,42","0,000%","5,00090","14,93","1,78","3058,0"
"Total5Execution",100,243,20,478,"113,40","0,000%","29,44294","87,93","10,49","3058,0"
"Total5Execution",150,252,21,546,"114,89","0,000%","43,83658","130,91","15,63","3058,0"
"Total5Execution",200,261,22,502,"111,19","0,000%","56,07581","167,46","19,99","3058,0"
"Total5Execution",250,288,28,529,"117,87","0,000%","69,75446","208,31","24,86","3058,0"
"Total5Execution",300,302,40,545,"117,58","0,000%","92,65551","276,70","33,03","3058,0"
"Total5Execution",350,317,31,623,"127,80","0,000%","70,82153","211,50","25,24","3058,0"
"Total5Execution",400,342,38,730,"136,99","0,000%","72,62428","216,88","25,89","3058,0"
"Total5Execution",450,340,56,628,"126,64","0,000%","134,43269","401,46","47,92","3058,0"
"Total5Execution",500,347,21,686,"146,65","0,000%","75,56294","225,66","26,93","3058,0"
"Total5Execution",550,377,25,717,"146,14","0,000%","122,00532","364,35","43,49","3058,0"
"Total5Execution",600,384,31,741,"151,47","0,000%","170,11625","508,02","60,64","3058,0"
