"Iteration","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"IterationNumber",50,48,16,91,"15,73","0,000%","3,03722","28,44","1,08","9589,0"
"IterationNumber",100,71,12,187,"36,31","0,000%","23,10750","216,38","8,24","9589,0"
"IterationNumber",150,102,8,260,"60,37","0,000%","39,56531","370,50","14,10","9589,0"
"IterationNumber",200,129,9,408,"75,59","0,000%","49,14005","460,16","17,52","9589,0"
"IterationNumber",250,161,8,399,"94,97","0,000%","60,65606","568,00","21,62","9589,0"
"IterationNumber",300,177,8,443,"105,02","0,000%","82,98296","777,07","29,58","9589,0"
"IterationNumber",350,214,8,527,"128,24","0,000%","92,85297","869,50","33,10","9589,0"
"IterationNumber",400,242,7,609,"145,76","0,000%","117,55025","1100,77","41,90","9589,0"
"IterationNumber",450,274,11,670,"163,57","0,000%","106,03704","992,96","37,80","9589,0"
"IterationNumber",500,305,8,754,"181,56","0,000%","100,02401","936,65","35,65","9589,0"
"IterationNumber",550,332,7,854,"201,81","0,000%","134,54012","1259,87","47,96","9589,0"
"IterationNumber",600,359,9,896,"216,93","0,000%","148,92772","1394,60","53,08","9589,0"
