"Iteration","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"IterationNumber",50,228,27,469,"114,42","0,000%","5,00090","14,93","1,78","3058,0"
"IterationNumber",100,243,20,478,"113,40","0,000%","29,44294","87,93","10,49","3058,0"
"IterationNumber",150,252,21,546,"114,89","0,000%","43,83658","130,91","15,63","3058,0"
"IterationNumber",200,261,22,502,"111,19","0,000%","56,07581","167,46","19,99","3058,0"
"IterationNumber",250,288,28,529,"117,87","0,000%","69,75446","208,31","24,86","3058,0"
"IterationNumber",300,302,40,545,"117,58","0,000%","92,65551","276,70","33,03","3058,0"
"IterationNumber",350,317,31,623,"127,80","0,000%","70,82153","211,50","25,24","3058,0"
"IterationNumber",400,342,38,730,"136,99","0,000%","72,62428","216,88","25,89","3058,0"
"IterationNumber",450,340,56,628,"126,64","0,000%","134,43269","401,46","47,92","3058,0"
"IterationNumber",500,347,21,686,"146,65","0,000%","75,56294","225,66","26,93","3058,0"
"IterationNumber",550,377,25,717,"146,14","0,000%","122,00532","364,35","43,49","3058,0"
"IterationNumber",600,384,31,741,"151,47","0,000%","170,11625","508,02","60,64","3058,0"
