"Iteration","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"IterationNumber",50,34,18,91,"10,76","0,000%","5,10903","1,85","12,69","370,0"
"IterationNumber",100,42,9,90,"18,12","0,000%","28,14523","10,17","69,92","370,0"
"IterationNumber",150,58,7,205,"33,91","0,000%","42,87674","15,49","106,52","370,0"
"IterationNumber",200,70,8,172,"38,75","0,000%","54,25642","19,60","134,79","370,0"
"IterationNumber",250,85,7,210,"48,21","0,000%","52,92349","19,12","131,48","370,0"
"IterationNumber",300,107,5,262,"62,18","0,000%","70,74804","25,56","175,76","370,0"
"IterationNumber",350,124,7,304,"71,20","0,000%","82,12878","29,68","204,04","370,0"
"IterationNumber",400,142,6,369,"83,98","0,000%","67,16368","24,27","166,86","370,0"
"IterationNumber",450,165,9,503,"103,04","0,000%","90,89440","32,84","225,82","370,0"
"IterationNumber",500,183,9,439,"107,91","0,000%","97,41651","35,20","242,02","370,0"
"IterationNumber",550,223,10,571,"130,73","0,000%","126,60559","45,75","314,54","370,0"
"IterationNumber",600,222,12,543,"130,18","0,000%","126,37432","45,66","313,96","370,0"
