"Iteration","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"IterationNumber",50,34925,31110,36387,"634,23","0,000%","1,27755","3,82","2,75","3058,0"
"IterationNumber",100,70673,65728,72561,"1118,22","0,000%","1,31323","0,47","2,83","370,0"
"IterationNumber",150,113525,106138,115939,"1210,55","0,000%","1,25185","0,45","2,70","370,0"
"IterationNumber",200,141480,126654,144154,"2608,70","0,000%","1,29415","0,47","2,79","370,0"
"IterationNumber",250,179393,159964,182620,"3357,71","0,000%","1,31738","0,48","2,84","370,0"
"IterationNumber",300,254351,236232,259431,"3296,91","0,000%","1,12376","0,41","2,42","370,0"
"IterationNumber",350,252578,217419,257965,"5283,05","0,000%","1,33216","0,48","2,87","370,0"
"IterationNumber",400,354394,332195,363117,"5759,89","0,000%","1,06314","0,38","2,29","370,0"
"IterationNumber",450,403611,367299,409570,"4959,88","0,000%","1,04759","0,38","2,26","370,0"
"IterationNumber",500,449728,407629,457176,"5543,74","0,000%",",91136","0,33","1,96","370,0"
"IterationNumber",550,403513,347958,407714,"8371,32","0,000%","1,25473","0,47","2,76","370,0"
"IterationNumber",600,440371,388088,450564,"9695,99","0,000%","1,25462","0,45","2,70","370,0"
