"ExecutionNumber","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"FirstExecution",50,44,28,96,"15,31","0,000%","48,54369","17,54","120,55","370,0"
"FirstExecution",100,31,15,82,"13,28","0,000%","94,07338","33,99","233,62","370,0"
"FirstExecution",150,23,7,55,"8,95","0,000%","141,11007","50,99","350,43","370,0"
"FirstExecution",200,27,8,61,"11,32","0,000%","193,23671","69,82","479,88","370,0"
"FirstExecution",250,28,8,65,"10,19","0,000%","243,90244","88,13","605,71","370,0"
"FirstExecution",300,42,11,175,"33,51","0,000%","319,82942","115,56","794,26","370,0"
"FirstExecution",350,39,13,115,"16,62","0,000%","319,34307","115,39","793,06","370,0"
"FirstExecution",400,39,10,77,"14,58","0,000%","323,10178","116,75","802,39","370,0"
"FirstExecution",450,45,12,94,"15,36","0,000%","470,71130","170,08","1168,96","370,0"
"FirstExecution",500,49,8,95,"18,47","0,000%","457,87546","165,44","1137,09","370,0"
"FirstExecution",550,48,9,101,"20,00","0,000%","465,70703","168,27","1156,54","370,0"
"FirstExecution",600,53,9,110,"23,48","0,000%","471,69811","170,44","1171,41","370,0"
"Total5Execution",50,44,24,120,"16,06","0,000%","15,39598","5,56","38,23","370,0"
"Total5Execution",100,46,15,86,"16,50","0,000%","12,31588","4,45","30,59","370,0"
"Total5Execution",150,61,7,165,"32,08","0,000%","36,82427","13,31","91,45","370,0"
"Total5Execution",200,74,8,182,"39,13","0,000%","53,13779","19,20","131,96","370,0"
"Total5Execution",250,89,8,226,"50,64","0,000%","66,06416","23,87","164,06","370,0"
"Total5Execution",300,107,11,309,"59,96","0,000%","51,76162","18,70","128,54","370,0"
"Total5Execution",350,122,13,287,"66,89","0,000%","64,40216","23,27","159,94","370,0"
"Total5Execution",400,148,10,351,"83,94","0,000%","65,69439","23,74","163,15","370,0"
"Total5Execution",450,167,12,407,"97,52","0,000%","76,88890","27,78","190,95","370,0"
"Total5Execution",500,181,8,455,"103,81","0,000%","95,43077","34,48","236,99","370,0"
"Total5Execution",550,199,9,489,"119,03","0,000%","101,51722","36,68","252,11","370,0"
"Total5Execution",600,227,9,656,"143,92","0,000%","118,21263","42,71","293,57","370,0"
