"ExecutionNumber","Samples","Average","Min","Max","Std. Dev.","Error %","Throughput","Received KB/sec","Sent KB/sec","Avg. Bytes"
"FirstExecution",50,34713,33326,35901,"442,38","0,000%","1,38723","4,14","2,99","3058,0"
"FirstExecution",100,70998,66211,72561,"986,35","0,000%","1,37663","0,50","2,97","370,0"
"FirstExecution",150,113994,108731,115939,"1036,77","0,000%","1,29296","0,47","2,79","370,0"
"FirstExecution",200,141116,126654,143844,"2754,54","0,000%","1,39018","0,50","3,00","370,0"
"FirstExecution",250,179315,160085,182359,"3166,98","0,000%","1,36914","0,49","2,95","370,0"
"FirstExecution",300,256524,244140,259431,"2454,68","0,000%","1,15510","0,42","2,49","370,0"
"FirstExecution",350,251508,217419,255928,"5344,89","0,000%","1,36695","0,49","2,95","370,0"
"FirstExecution",400,359125,341211,363117,"3363,66","0,000%","1,10039","0,40","2,37","370,0"
"FirstExecution",450,402278,367299,407514,"5004,25","0,000%","1,10364","0,40","2,38","370,0"
"FirstExecution",500,451981,407629,457176,"5075,78","0,000%","1,09363","0,40","2,36","370,0"
"FirstExecution",550,398565,350746,405559,"8221,05","0,000%","1,35555","0,49","2,92","370,0"
"FirstExecution",600,438350,389601,446512,"9479,78","0,000%","1,34308","0,49","2,89","370,0"
"Total5Execution",50,34925,31110,36387,"634,23","0,000%","1,27755","3,82","2,75","3058,0"
"Total5Execution",100,70673,65728,72561,"1118,22","0,000%","1,31323","0,47","2,83","370,0"
"Total5Execution",150,113525,106138,115939,"1210,55","0,000%","1,25185","0,45","2,70","370,0"
"Total5Execution",200,141480,126654,144154,"2608,70","0,000%","1,29415","0,47","2,79","370,0"
"Total5Execution",250,179393,159964,182620,"3357,71","0,000%","1,31738","0,48","2,84","370,0"
"Total5Execution",300,254351,236232,259431,"3296,91","0,000%","1,12376","0,41","2,42","370,0"
"Total5Execution",350,252578,217419,257965,"5283,05","0,000%","1,33216","0,48","2,87","370,0"
"Total5Execution",400,354394,332195,363117,"5759,89","0,000%","1,06314","0,38","2,29","370,0"
"Total5Execution",450,403611,367299,409570,"4959,88","0,000%","1,04759","0,38","2,26","370,0"
"Total5Execution",500,449728,407629,457176,"5543,74","0,000%",",91136","0,33","1,96","370,0"
"Total5Execution",550,403513,347958,407714,"8371,32","0,000%","1,25473","0,47","2,76","370,0"
"Total5Execution",600,440371,388088,450564,"9695,99","0,000%","1,25462","0,45","2,70","370,0"
