"File","Time in ms","Size in KB"
"json-1.jsonld",110,2
"json0.jsonld",89,2
"json1.jsonld",89,3
"json2.jsonld",139,4
"json3.jsonld",88,5
"json4.jsonld",91,5
"json5.jsonld",93,6
"json6.jsonld",93,7
"json7.jsonld",109,8
"json8.jsonld",91,9
"json9.jsonld",97,10
"json10.jsonld",92,11
"json11.jsonld",93,12
"json12.jsonld",107,13
"json13.jsonld",98,13
"json14.jsonld",103,14
"json15.jsonld",154,15
"json16.jsonld",96,16
"json17.jsonld",120,17
"json18.jsonld",97,18
"json19.jsonld",96,19
"json20.jsonld",99,20
"json21.jsonld",129,21
"json22.jsonld",134,22
"json23.jsonld",112,22
"json24.jsonld",101,23
"json25.jsonld",130,24
"json26.jsonld",128,25
"json27.jsonld",126,26
"json28.jsonld",105,27
"json29.jsonld",183,28
"json30.jsonld",106,29
"json31.jsonld",159,30
"json32.jsonld",135,31
"json33.jsonld",116,31
"json34.jsonld",113,32
"json35.jsonld",144,33
"json36.jsonld",107,34
"json37.jsonld",132,35
"json38.jsonld",116,36
"json39.jsonld",110,37
"json40.jsonld",116,38
"json41.jsonld",115,39
"json42.jsonld",138,39
"json43.jsonld",113,40
"json44.jsonld",116,41
"json45.jsonld",131,42
"json46.jsonld",112,43
"json47.jsonld",143,44
"json48.jsonld",121,45
"json49.jsonld",118,46
"json50.jsonld",174,47
"json51.jsonld",118,48
"json52.jsonld",165,48
"json53.jsonld",126,49
"json54.jsonld",134,50
"json55.jsonld",132,51
"json56.jsonld",135,52
"json57.jsonld",152,53
"json58.jsonld",156,54
"json59.jsonld",125,55
"json60.jsonld",171,56
"json61.jsonld",131,57
"json62.jsonld",152,57
"json63.jsonld",141,58
"json64.jsonld",151,59
"json65.jsonld",133,60
"json66.jsonld",134,61
"json67.jsonld",146,62
"json68.jsonld",143,63
"json69.jsonld",153,64
"json70.jsonld",156,65
"json71.jsonld",147,66
"json72.jsonld",191,66
"json73.jsonld",150,67
"json74.jsonld",154,68
"json75.jsonld",146,69
"json76.jsonld",148,70
"json77.jsonld",183,71
"json78.jsonld",208,72
"json79.jsonld",249,73
"json80.jsonld",160,74
"json81.jsonld",175,74
"json82.jsonld",172,75
"json83.jsonld",191,76
"json84.jsonld",157,77
"json85.jsonld",160,78
"json86.jsonld",158,79
"json87.jsonld",214,80
"json88.jsonld",161,81
"json89.jsonld",244,82
"json90.jsonld",169,83
"json91.jsonld",199,83
"json92.jsonld",211,84
"json93.jsonld",237,85
"json94.jsonld",245,86
"json95.jsonld",172,87
"json96.jsonld",160,88
"json97.jsonld",196,89
"json98.jsonld",176,90
"json99.jsonld",181,91
"json100.jsonld",173,92
"json101.jsonld",221,92
"json102.jsonld",182,93
"json103.jsonld",185,94
"json104.jsonld",185,95
"json105.jsonld",189,96
"json106.jsonld",178,97
"json107.jsonld",189,98
"json108.jsonld",178,99
"json109.jsonld",181,100
"json110.jsonld",184,101
"json111.jsonld",191,101
"json112.jsonld",199,102
"json113.jsonld",180,103
"json114.jsonld",202,104
"json115.jsonld",196,105
"json116.jsonld",182,106
"json117.jsonld",202,107
"json118.jsonld",188,108
"json119.jsonld",191,109
"json120.jsonld",190,110
"json121.jsonld",228,110
"json122.jsonld",201,111
"json123.jsonld",203,112
"json124.jsonld",194,113
"json125.jsonld",238,114
"json126.jsonld",264,115
"json127.jsonld",266,116
"json128.jsonld",201,117
"json129.jsonld",200,118
"json130.jsonld",238,119
"json131.jsonld",224,120
"json132.jsonld",219,120
"json133.jsonld",208,121
"json134.jsonld",215,122
"json135.jsonld",201,123
"json136.jsonld",224,124
"json137.jsonld",226,125
"json138.jsonld",205,126
"json139.jsonld",207,127
"json140.jsonld",217,128
"json141.jsonld",249,129
"json142.jsonld",222,129
"json143.jsonld",210,130
"json144.jsonld",289,131
"json145.jsonld",221,132
"json146.jsonld",233,133
"json147.jsonld",268,134
"json148.jsonld",214,135
"json149.jsonld",230,136
"json150.jsonld",318,137
"json151.jsonld",249,138
"json152.jsonld",237,138
"json153.jsonld",234,139
"json154.jsonld",246,140
"json155.jsonld",229,141
"json156.jsonld",326,142
"json157.jsonld",386,143
"json158.jsonld",277,144
"json159.jsonld",249,145
"json160.jsonld",242,146
"json161.jsonld",226,147
"json162.jsonld",261,147
"json163.jsonld",250,148
"json164.jsonld",266,149
"json165.jsonld",338,150
"json166.jsonld",302,151
"json167.jsonld",270,152
"json168.jsonld",258,153
"json169.jsonld",256,154
"json170.jsonld",271,155
"json171.jsonld",244,156
"json172.jsonld",325,157
"json173.jsonld",411,157
"json174.jsonld",279,158
"json175.jsonld",268,159
"json176.jsonld",325,160
"json177.jsonld",304,161
"json178.jsonld",306,162
"json179.jsonld",262,163
"json180.jsonld",287,164
"json181.jsonld",293,165
"json182.jsonld",261,166
"json183.jsonld",301,166
"json184.jsonld",323,167
"json185.jsonld",262,168
"json186.jsonld",255,169
"json187.jsonld",265,170
"json188.jsonld",390,171
"json189.jsonld",301,172
"json190.jsonld",266,173
"json191.jsonld",282,174
"json192.jsonld",274,175
"json193.jsonld",296,175
"json194.jsonld",388,176
"json195.jsonld",288,177
"json196.jsonld",427,178
"json197.jsonld",356,179
"json198.jsonld",341,180
"json199.jsonld",285,181
"json200.jsonld",277,182
"json201.jsonld",321,183
"json202.jsonld",301,184
"json203.jsonld",324,184
"json204.jsonld",292,185
"json205.jsonld",296,186
"json206.jsonld",306,187
"json207.jsonld",370,188
"json208.jsonld",283,189
"json209.jsonld",298,190
"json210.jsonld",299,191
"json211.jsonld",288,192
"json212.jsonld",450,193
"json213.jsonld",335,193
"json214.jsonld",409,194
"json215.jsonld",301,195
"json216.jsonld",335,196
"json217.jsonld",345,197
"json218.jsonld",421,198
"json219.jsonld",452,199
"json220.jsonld",355,200
"json221.jsonld",367,201
"json222.jsonld",371,202
"json223.jsonld",343,203
"json224.jsonld",306,203
"json225.jsonld",333,204
"json226.jsonld",434,205
"json227.jsonld",345,206
"json228.jsonld",337,207
"json229.jsonld",391,208
"json230.jsonld",328,209
"json231.jsonld",429,210
"json232.jsonld",328,211
"json233.jsonld",438,212
"json234.jsonld",463,212
"json235.jsonld",383,213
"json236.jsonld",337,214
"json237.jsonld",332,215
"json238.jsonld",352,216
"json239.jsonld",333,217
"json240.jsonld",343,218
"json241.jsonld",381,219
"json242.jsonld",456,220
"json243.jsonld",375,221
"json244.jsonld",403,221
"json245.jsonld",356,222
"json246.jsonld",403,223
"json247.jsonld",410,224
"json248.jsonld",373,225
"json249.jsonld",446,226
"json250.jsonld",460,227
"json251.jsonld",333,228
"json252.jsonld",343,229
"json253.jsonld",428,230
"json254.jsonld",338,230
"json255.jsonld",367,231
"json256.jsonld",415,232
"json257.jsonld",382,233
"json258.jsonld",418,234
"json259.jsonld",461,235
"json260.jsonld",502,236
"json261.jsonld",379,237
"json262.jsonld",351,238
"json263.jsonld",424,239
"json264.jsonld",345,240
"json265.jsonld",353,240
"json266.jsonld",346,241
"json267.jsonld",356,242
"json268.jsonld",391,243
"json269.jsonld",421,244
"json270.jsonld",406,245
"json271.jsonld",489,246
"json272.jsonld",381,247
"json273.jsonld",354,248
"json274.jsonld",442,249
"json275.jsonld",362,249
"json276.jsonld",553,250
"json277.jsonld",389,251
"json278.jsonld",399,252
"json279.jsonld",385,253
"json280.jsonld",426,254
"json281.jsonld",382,255
"json282.jsonld",512,256
"json283.jsonld",446,257
"json284.jsonld",537,258
"json285.jsonld",491,258
"json286.jsonld",524,259
"json287.jsonld",620,260
"json288.jsonld",463,261
"json289.jsonld",506,262
"json290.jsonld",482,263
"json291.jsonld",403,264
"json292.jsonld",402,265
"json293.jsonld",415,266
"json294.jsonld",443,267
"json295.jsonld",407,267
"json296.jsonld",396,268
"json297.jsonld",532,269
"json298.jsonld",447,270
"json299.jsonld",427,271
"json300.jsonld",510,272
"json301.jsonld",409,273
"json302.jsonld",392,274
"json303.jsonld",436,275
"json304.jsonld",519,276
"json305.jsonld",397,277
"json306.jsonld",394,277
"json307.jsonld",551,278
"json308.jsonld",443,279
"json309.jsonld",546,280
"json310.jsonld",486,281
"json311.jsonld",588,282
"json312.jsonld",529,283
"json313.jsonld",432,284
"json314.jsonld",465,285
"json315.jsonld",515,286
"json316.jsonld",429,286
"json317.jsonld",567,287
"json318.jsonld",569,288
"json319.jsonld",479,289
"json320.jsonld",495,290
"json321.jsonld",458,291
"json322.jsonld",701,292
"json323.jsonld",500,293
"json324.jsonld",624,294
"json325.jsonld",465,295
"json326.jsonld",566,295
"json327.jsonld",598,296
"json328.jsonld",552,297
"json329.jsonld",439,298
"json330.jsonld",540,299
"json331.jsonld",615,300
"json332.jsonld",648,301
"json333.jsonld",463,302
"json334.jsonld",522,303
"json335.jsonld",644,304
"json336.jsonld",575,304
"json337.jsonld",569,305
"json338.jsonld",455,306
"json339.jsonld",599,307
"json340.jsonld",499,308
"json341.jsonld",468,309
"json342.jsonld",559,310
"json343.jsonld",528,311
"json344.jsonld",465,312
"json345.jsonld",440,313
"json346.jsonld",538,314
"json347.jsonld",534,314
"json348.jsonld",504,315
"json349.jsonld",508,316
"json350.jsonld",493,317
"json351.jsonld",466,318
"json352.jsonld",456,319
"json353.jsonld",598,320
"json354.jsonld",521,321
"json355.jsonld",545,322
"json356.jsonld",480,323
"json357.jsonld",498,323
"json358.jsonld",513,324
"json359.jsonld",529,325
"json360.jsonld",541,326
"json361.jsonld",733,327
"json362.jsonld",528,328
"json363.jsonld",563,329
"json364.jsonld",658,330
"json365.jsonld",564,331
"json366.jsonld",728,332
"json367.jsonld",528,332
"json368.jsonld",543,333
"json369.jsonld",589,334
"json370.jsonld",507,335
"json371.jsonld",540,336
"json372.jsonld",559,337
"json373.jsonld",568,338
"json374.jsonld",711,339
"json375.jsonld",542,340
"json376.jsonld",538,341
"json377.jsonld",600,341
"json378.jsonld",584,342
"json379.jsonld",538,343
"json380.jsonld",576,344
"json381.jsonld",536,345
"json382.jsonld",757,346
"json383.jsonld",722,347
"json384.jsonld",535,348
"json385.jsonld",545,349
"json386.jsonld",569,350
"json387.jsonld",541,351
"json388.jsonld",722,351
"json389.jsonld",549,352
"json390.jsonld",550,353
"json391.jsonld",569,354
"json392.jsonld",712,355
"json393.jsonld",559,356
"json394.jsonld",629,357
"json395.jsonld",720,358
"json396.jsonld",577,359
"json397.jsonld",599,360
"json398.jsonld",667,360
"json399.jsonld",558,361
"json400.jsonld",771,362
"json401.jsonld",566,363
"json402.jsonld",686,364
"json403.jsonld",561,365
"json404.jsonld",536,366
"json405.jsonld",554,367
"json406.jsonld",659,368
"json407.jsonld",547,369
"json408.jsonld",538,369
"json409.jsonld",524,370
"json410.jsonld",581,371
"json411.jsonld",567,372
"json412.jsonld",623,373
"json413.jsonld",635,374
"json414.jsonld",698,375
"json415.jsonld",692,376
"json416.jsonld",597,377
"json417.jsonld",544,378
"json418.jsonld",596,378
"json419.jsonld",562,379
"json420.jsonld",709,380
"json421.jsonld",634,381
"json422.jsonld",534,382
"json423.jsonld",698,383
"json424.jsonld",654,384
"json425.jsonld",621,385
"json426.jsonld",643,386
"json427.jsonld",590,387
"json428.jsonld",645,388
"json429.jsonld",595,388
"json430.jsonld",664,389
"json431.jsonld",560,390
"json432.jsonld",628,391
"json433.jsonld",587,392
"json434.jsonld",587,393
"json435.jsonld",615,394
"json436.jsonld",596,395
"json437.jsonld",566,396
"json438.jsonld",608,397
"json439.jsonld",563,397
"json440.jsonld",640,398
"json441.jsonld",743,399
"json442.jsonld",604,400
"json443.jsonld",618,401
"json444.jsonld",563,402
"json445.jsonld",606,403
"json446.jsonld",644,404
"json447.jsonld",779,405
"json448.jsonld",879,406
"json449.jsonld",576,406
"json450.jsonld",614,407
"json451.jsonld",673,408
"json452.jsonld",585,409
"json453.jsonld",661,410
"json454.jsonld",781,411
"json455.jsonld",576,412
"json456.jsonld",632,413
"json457.jsonld",770,414
"json458.jsonld",682,415
"json459.jsonld",702,415
"json460.jsonld",612,416
"json461.jsonld",636,417
"json462.jsonld",575,418
"json463.jsonld",630,419
"json464.jsonld",630,420
"json465.jsonld",577,421
"json466.jsonld",585,422
"json467.jsonld",736,423
"json468.jsonld",882,424
"json469.jsonld",677,424
"json470.jsonld",884,425
"json471.jsonld",781,426
"json472.jsonld",705,427
"json473.jsonld",685,428
"json474.jsonld",649,429
"json475.jsonld",622,430
"json476.jsonld",743,431
"json477.jsonld",586,432
"json478.jsonld",766,433
"json479.jsonld",639,434
"json480.jsonld",635,434
"json481.jsonld",647,435
"json482.jsonld",664,436
"json483.jsonld",625,437
"json484.jsonld",686,438
"json485.jsonld",662,439
"json486.jsonld",720,440
"json487.jsonld",662,441
"json488.jsonld",659,442
"json489.jsonld",658,443
"json490.jsonld",727,443
"json491.jsonld",758,444
"json492.jsonld",706,445
"json493.jsonld",749,446
"json494.jsonld",810,447
"json495.jsonld",785,448
"json496.jsonld",680,449
"json497.jsonld",772,450
"json498.jsonld",621,451
"json499.jsonld",737,452
"json500.jsonld",768,452
"json501.jsonld",721,453
"json502.jsonld",654,454
"json503.jsonld",761,455
"json504.jsonld",726,456
"json505.jsonld",724,457
"json506.jsonld",691,458
"json507.jsonld",698,459
"json508.jsonld",699,460
"json509.jsonld",829,461
"json510.jsonld",831,461
"json511.jsonld",818,462
"json512.jsonld",665,463
"json513.jsonld",676,464
"json514.jsonld",743,465
"json515.jsonld",899,466
"json516.jsonld",641,467
"json517.jsonld",765,468
"json518.jsonld",941,469
"json519.jsonld",685,470
"json520.jsonld",805,471
"json521.jsonld",862,471
"json522.jsonld",743,472
"json523.jsonld",698,473
"json524.jsonld",743,474
"json525.jsonld",817,475
"json526.jsonld",918,476
"json527.jsonld",870,477
"json528.jsonld",767,478
"json529.jsonld",809,479
"json530.jsonld",799,480
"json531.jsonld",835,480
"json532.jsonld",746,481
"json533.jsonld",933,482
"json534.jsonld",910,483
"json535.jsonld",710,484
"json536.jsonld",782,485
"json537.jsonld",977,486
"json538.jsonld",709,487
"json539.jsonld",759,488
"json540.jsonld",1034,489
"json541.jsonld",848,489
"json542.jsonld",718,490
"json543.jsonld",849,491
"json544.jsonld",690,492
"json545.jsonld",725,493
"json546.jsonld",787,494
"json547.jsonld",695,495
"json548.jsonld",727,496
"json549.jsonld",792,497
"json550.jsonld",835,498
